"(PDH-TSV 4.0) (Hora de verano romance)(-120)"	"\\GI-AN-B3_01\Disco físico(0 D: C:)\% de tiempo inactivo"	"\\GI-AN-B3_01\Disco físico(0 D: C:)\Longitud promedio de la cola de disco"	"\\GI-AN-B3_01\Disco físico(0 D: C:)\Transferencias de disco/s"	"\\GI-AN-B3_01\Disco físico(0 D: C:)\Promedio de segundos de disco/transferencia"	"\\GI-AN-B3_01\Disco físico(0 D: C:)\Promedio de bytes de disco/transferencia"	"\\GI-AN-B3_01\Interfaz de red(Controladora Realtek PCIe GBE Family)\Ancho de banda actual"	"\\GI-AN-B3_01\Interfaz de red(Controladora Realtek PCIe GBE Family)\Total de bytes/s"	"\\GI-AN-B3_01\Memoria\Bytes disponibles"	"\\GI-AN-B3_01\Memoria\Bytes de caché"	"\\GI-AN-B3_01\Memoria\Páginas/s"	"\\GI-AN-B3_01\Memoria\Errores de página/s"	"\\GI-AN-B3_01\Procesador(_Total)\% de tiempo de procesador"	"\\GI-AN-B3_01\Sistema\Cambios de contexto/s"	"\\GI-AN-B3_01\Sistema\Llamadas al sistema/s"
"09/21/2022 10:40:53.970"	" "	" "	" "	" "	" "	"1000000000"	" "	"13197893632"	"71282688"	" "	" "	" "	" "	" "
"09/21/2022 10:40:54.970"	"99.824567121922954"	"0.00019996908477949309"	"3.008931653976032"	"6.661987235504136e-005"	"10922.666666666666"	"1000000000"	"0"	"13194285056"	"69734400"	"0"	"3078.1370820174811"	"1.5777160850932392"	"4150.3197280509403"	"17506.967340050549"
"09/21/2022 10:40:55.972"	"99.151876852550913"	"0.010075801954027208"	"3.9908179595181092"	"0.0025250321764359418"	"18432"	"1000000000"	"81.81176817012124"	"13175631872"	"69738496"	"158.63501389084485"	"10665.460996812148"	"10.371501801274064"	"14332.02499711941"	"57448.822231753067"
"09/21/2022 10:40:56.972"	"72.580150873526463"	"0.46423700303868765"	"742.89656796109341"	"0.00062489889017566791"	"8469.0174966352624"	"1000000000"	"0"	"13177348096"	"70012928"	"8.9987471220051685"	"7279.9864217021814"	"58.599368065753474"	"45036.729624053201"	"100357.02748697564"
"09/21/2022 10:40:57.976"	"99.593407448415306"	"0.0052800346051475556"	"4.9808543479580845"	"0.0010600579753290466"	"15564.799999999999"	"1000000000"	"0"	"13190385664"	"70049792"	"0"	"3700.7747805328568"	"2.7116265266149076"	"2615.944703547586"	"12182.173564235882"
"09/21/2022 10:40:58.983"	"99.675995888178889"	"0.005066755497156507"	"4.967236066364773"	"0.0010199577311345996"	"6963.1999999999998"	"1000000000"	"4202.2817121445978"	"13190443008"	"70017024"	"0.9934472132729546"	"3215.7886293645538"	"0"	"1977.9534016264524"	"10372.582353782918"
"09/21/2022 10:40:59.983"	"99.67970308667114"	"0.0048994938822819606"	"1.999804971432164"	"0.0024499645193039369"	"10240"	"1000000000"	"0"	"13199273984"	"70017024"	"0"	"3020.7054093482839"	"0.79149823823199128"	"1766.8276922603168"	"7636.2552834137177"
"09/21/2022 10:41:00.983"	"98.992400918623886"	"0.056184335807176959"	"61.988326931866474"	"0.0009064517908965677"	"5532.9032258064517"	"1000000000"	"0"	"13199343616"	"70017024"	"0"	"3026.4300906896747"	"0.80890447743169336"	"2121.6004798293657"	"9454.2196688343447"
"09/21/2022 10:41:01.977"	"100.15612602182544"	"0.0001006290827105651"	"2.0125848372467794"	"5.0045104754669917e-005"	"4096"	"1000000000"	"153.96274004937862"	"13199314944"	"70053888"	"0"	"3229.1923713624578"	"4.087905541492642"	"2901.1410428912327"	"13789.225012396309"
"09/21/2022 10:41:02.977"	"92.483082265446541"	"0.10229234853232978"	"171.99095129456023"	"0.00059476682189203852"	"8221.7674418604656"	"1000000000"	"163.9913721645807"	"13197668352"	"71778304"	"0"	"4162.7809897631068"	"9.3817782429874264"	"10277.459287241221"	"29076.470242693154"
"09/21/2022 10:41:03.979"	"50.885447689689947"	"0.75375503380375852"	"1225.4661370741323"	"0.00061480898267145614"	"8230.3270951993491"	"1000000000"	"161.53418568430388"	"13194633216"	"75124736"	"6.9798722209267101"	"12032.302584274659"	"89.868548753216743"	"65992.697599656065"	"173676.17197490737"
"09/21/2022 10:41:04.982"	"92.106880293177809"	"0.11462233884637853"	"203.59075305735252"	"0.00056323544948643628"	"8222.1176470588234"	"1000000000"	"81.835498777955422"	"13191602176"	"78163968"	"0.99799388753604179"	"3979.0016296061985"	"13.490809862189835"	"11801.277720113694"	"31429.821500172562"
"09/21/2022 10:41:05.982"	"62.885239587363237"	"0.54875845898465481"	"928.96930443773135"	"0.00059074246670717671"	"8199.7158234660928"	"1000000000"	"0"	"13187026944"	"82821120"	"4.9998347924528055"	"10254.661159320705"	"75.783083220600204"	"54055.21387512426"	"147023.14197295022"
"09/21/2022 10:41:06.982"	"49.854690475464366"	"0.76851815281672498"	"1290.4432013385781"	"0.00059535251531150446"	"8294.3206816421371"	"1000000000"	"0"	"13188640768"	"81313792"	"6.9969809522618478"	"11741.933606602846"	"90.625998331177726"	"60980.688136376935"	"169924.68113180139"
"09/21/2022 10:41:07.990"	"54.676090545431457"	"0.64567591593117024"	"943.72584748258237"	"0.00068433229854024911"	"8116.6267087276547"	"1000000000"	"8345.6723210604814"	"13199290368"	"71757824"	"5.9541062932655038"	"8088.6533994011879"	"61.245059210108579"	"50118.689723562384"	"127221.38916820403"
